100,25,05/04/1982,James Smith,Beginner,3,James@competition.com,4,5,7,2,4.1,Football
100,37,29/09/1987,River Johnson,Expert,5,riverjohnson@example.com,3,3,8,5,7,Tennis
101,59,12/01/1989,River Brown,Expert,5,riverbrown@test.net,6,10,1,10,10,Volleyball
102,53,06/02/1997,Taylor Smith,Expert,10,taylorsmith@sample.org,5,9,4,7,6,Basketball
103,53,01/06/1974,River Martinez,Beginner,7,rivermartinez@example.com,1,3,6,2,1,Basketball
104,60,19/01/1995,Alex Martinez,Beginner,2,alexmartinez@example.com,3,2,7,1,8,Basketball
105,37,30/06/1998,Morgan Smith,Advanced,5,morgansmith@example.com,6,4,1,1,4,Tennis
106,47,27/02/1970,River Johnson,Beginner,2,riverjohnson@test.net,2,10,10,5,1,Basketball
107,43,29/04/1977,Morgan Johnson,Expert,10,morganjohnson@example.com,7,7,9,8,3,Football
108,45,26/05/1971,Jordan Brown,Expert,9,jordanbrown@test.net,9,8,10,7,1,Cricket
109,41,17/11/1975,Casey Smith,Advanced,10,caseysmith@test.net,6,3,1,9,2,Basketball
110,54,15/02/1985,Skyler Johnson,Advanced,6,skylerjohnson@sample.org,1,7,10,4,5,Football
111,28,01/10/1972,Skyler Garcia,Intermediate,10,skylergarcia@test.net,1,10,2,10,3,Basketball
112,60,12/10/1989,River Johnson,Intermediate,9,riverjohnson@example.com,1,6,3,5,10,Volleyball
113,34,01/12/1983,Casey Martinez,Expert,6,caseymartinez@sample.org,1,4,1,9,6,Basketball
114,54,28/02/1983,River Wilson,Beginner,3,riverwilson@example.com,4,10,6,4,5,Football
115,28,13/10/1989,Casey Lee,Expert,7,caseylee@test.net,4,6,4,9,4,Basketball
116,50,17/09/1993,Skyler Lee,Expert,3,skylerlee@sample.org,1,3,5,5,1,Badminton
117,24,11/08/2000,Morgan Brown,Expert,1,morganbrown@example.com,5,10,3,4,1,Football
118,59,27/01/1996,Jordan Johnson,Beginner,4,jordanjohnson@sample.org,6,2,7,7,5,Badminton
119,35,04/11/1982,Casey Garcia,Expert,2,caseygarcia@sample.org,7,9,1,3,7,Volleyball
120,27,30/10/1999,Morgan Brown,Intermediate,5,morganbrown@sample.org,5,2,7,3,4,Tennis
121,28,03/01/1994,Skyler Lee,Expert,6,skylerlee@example.com,1,2,9,7,9,Tennis
122,24,30/05/1979,Taylor Smith,Expert,9,taylorsmith@sample.org,7,5,4,3,4,Cricket
123,49,24/04/1998,Jordan Moore,Intermediate,10,jordanmoore@sample.org,4,1,4,1,7,Volleyball
